ID,county,total_cost,benefit_2015,benefit_2040,bc_2015,bc_2040,current_congestion,current_safety,current_freight,current_reliability,current_eta,current_air,current_access,current_score,future_congestion,future_access,future_freight,future_deliverable,future_air,future_volume,future_score
CW-063,Coweta,34400000,2980000,9120000,2.14,6.53,0.34,0.05,1,0.27,0,0.09,0.16,24.52,0.16,0.48,0.58,0.35,0.64,0.6,41.64
I85 North Widening,Barrow,164990000,2540000,41490000,0.22,3.62,0.21,0.03,1,0,0,0.13,0.17,19.33,0.48,0.47,0.25,0.76,0.9,0.4,53.87
CO-367,Cobb,60690000,6710000,25780000,1.5,5.78,0.31,0.07,1,0.16,0,0.13,0.17,23.74,0.32,0.48,0.57,0.65,0.71,0.7,51.31
PA-036B,Paulding,22500000,300000,1270000,0.19,0.8,0.2,0.02,1,0,0,0.06,0.17,18.38,0.09,0.47,0.46,0.17,0.82,0.1,34.12
St Rt 9,Forsyth,215880000,16850000,166140000,1.2,11.81,0.3,0.04,1,0.19,0,0.15,0.18,23.59,1,0.49,1,0.51,0.06,0.7,65.19
GW-386,Gwinnett,117810000,2090000,23730000,0.26,2.98,0.21,0.04,1,0,0,0.15,0.18,19.97,0.31,0.47,0.23,0.75,0.89,0.4,48.21
CO-344A,Cobb,6910000,410000,500000,0.88,1.07,0.2,0,1,0,0,0.07,0.19,18.44,0.08,0.47,0.46,0.3,0.81,0.3,37.07
FN-270,Fulton,28000000,4650000,20380000,2.6,11.42,0.33,0,1,0.22,0,0.21,0.21,24.97,0.27,0.49,0.62,0.53,0.69,0.9,51.05
CL-041,Clayton,50310000,6540000,18110000,1.54,4.26,0.25,0.06,1,0.13,1,0.1,0.21,37.42,0.24,0.51,0.69,0.36,0.66,0.7,47.11
FN-222,Fulton,39090000,1900000,14640000,0.7,5.41,0.3,0.01,1,0.22,0,0.15,0.21,24.15,0.22,0.43,0.45,0.68,0.81,0.6,46.51
DK-AR-241,DeKalb,89460000,1540000,6470000,0.26,1.09,0.49,0.29,1,0.25,0,0.41,0.21,34.98,0.14,0.47,0.48,0.8,0.74,0.9,48.86
DK-162,DeKalb,50310000,3880000,15410000,1.18,4.7,0.29,0.04,1,0.13,1,0.18,0.25,39.5,0.22,0.51,0.46,0.83,0.78,0.5,49.14
CL-015,Clayton,23230000,3830000,9880000,1.69,4.36,0.29,0.04,1,0.17,1,0.14,0.26,39.57,0.17,0.48,0.46,0.33,0.79,1,46.78
FN-264,Fulton,25740000,54990000,159490000,29.01,84.14,0.75,0.02,1,0.31,0,0.19,0.26,35.72,1,0.49,1,0.71,0,1,69.35
DO-220A,Douglas,29050000,590000,7070000,0.3,3.58,0.24,0.06,1,0,0,0.1,0.27,22.26,0.14,0.48,0.52,0.37,0.77,0.6,42.79
I85 Clayton,Clayton,44810000,9230000,23880000,2.46,6.37,0.28,0.05,1,0.19,1,0.18,0.31,41.31,0.29,0.48,0.69,0.47,0.59,1,51.32
CL-AR-247,Clayton,31120000,4870000,14760000,2.05,6.2,0.29,0.03,1,0.14,1,0.12,0.33,40.52,0.21,0.47,0.52,0.7,0.71,1,50.95
GW-387,Gwinnett,710000,490000,190000,6.84,2.63,0.29,0,1,0.22,0,0.46,0.37,30.11,0.08,0.47,0.42,0.4,0.83,0.9,43.85
CL-014,Clayton,20470000,5600000,13770000,3.78,9.3,0.28,0.05,1,0.23,1,0.25,0.38,43.84,0.2,0.49,0.65,0.68,0.66,1,51.3
CL-238,Clayton,10660000,180000,-160000,0.28,-0.25,0.35,0.03,1,0.16,1,0.17,0.4,43.89,0.08,0.47,0.45,0.8,0.83,0.4,42.99
FN-225,Fulton,84380000,22500000,63390000,6.61,18.62,0.38,0,1,0.31,0,0.27,0.42,31.83,0.67,0.48,0.82,0.81,0.6,1,67.33
Pleasant Hill Rd,Fulton,108990000,47990000,136000000,7.28,20.63,0.4,0.03,1,0.28,0,0.24,0.42,32.02,1,0.48,1,0.75,0.39,1,75.39
FN-067A,Fulton,39690000,790000,1220000,0.15,0.23,0.33,0.04,1,0.19,0,0.19,0.43,29.56,0.09,0.49,0.45,0.2,0.82,0.8,41.86
GW-271B,Gwinnett,52490000,15700000,39100000,4.92,12.26,0.4,0.03,1,0.28,0,0.22,0.43,31.97,0.44,0.48,0.76,0.68,0.62,1,58.75
FN-278,Fulton,4500000,1900000,4200000,4.46,9.88,0.35,0.05,1,0.21,0,0.32,0.44,31.86,0.12,0.47,0.44,0.47,0.83,1,46.99
CL-012,Clayton,40960000,1590000,5070000,0.55,1.75,0.32,0.09,1,0.21,1,0.16,0.5,46.41,0.12,0.52,0.49,0.73,0.8,0.4,45.04
AR-960,Cobb,28100000,4390000,6470000,2.27,3.35,0.32,0.1,1,0.13,1,0.82,0.5,52.4,0.14,0.54,0.39,0.47,0.78,1,48.15
FN-263,Fulton,24060000,6810000,22770000,4.46,14.92,0.39,0,1,0.31,0,0.21,0.5,33.33,0.29,0.47,0.69,0.22,0.59,0.9,47.34
FN-AR-185,Fulton,20370000,2490000,3210000,1.86,2.4,0.5,0.01,1,0.58,1,0.65,0.52,57.67,0.11,0.47,0.43,0.42,0.79,1,45.46
AR-958,DeKalb,23700000,2110000,7800000,1.23,4.56,0.23,0.08,1,0,0,0.53,0.52,31.52,0.15,0.46,0.41,1,0.79,1,52.1
AR-959,Cobb,10900000,590000,1520000,0.8,2.04,0.41,1,1,0.12,1,0.65,0.55,66.91,0.09,0.47,0.42,0.47,0.82,0.5,40.81
CL-064,Clayton,28650000,3050000,13770000,1.33,6.01,0.31,0.16,1,0.17,1,0.15,0.56,47.87,0.21,0.48,0.48,0.62,0.79,0.7,47.9
GW-371,Gwinnett,15300000,5260000,14820000,4.71,13.27,0.34,0.23,1,0.39,1,0.35,0.64,55.52,0.22,0.5,0.55,0.86,0.79,1,54.82
DO-019,Douglas,32570000,10590000,46810000,4.42,19.52,0.26,0.02,1,0.07,0,0.1,0.66,30.56,0.52,0.13,0.82,0.48,0.75,0.7,50.1
FN-AR-100A,Fulton,381300000,47720000,124400000,1.8,4.69,0.44,0.01,1,0.59,0,0.53,0.66,43.57,1,0.35,0,0.69,1,0.9,69.58
CL-019,Clayton,26550000,1740000,2710000,0.71,1.11,0.33,0.11,1,0.27,1,0.17,0.77,53.05,0.1,0.47,0.42,0.69,0.8,0.9,46.95
Battle Zion,Clayton,51440000,1670000,2660000,0.44,0.69,0.34,0.08,1,0.3,1,0.16,0.79,53.49,0.1,0.48,0.45,0.71,0.81,0.8,46.78
FN-267,Fulton,15000000,960000,600000,1,0.63,0.53,0.18,1,0.33,0,0.36,0.81,46.46,0.08,0.49,0.44,0.42,0.83,0.8,43.76
CL-017,Clayton,17180000,1610000,-260000,1.24,-0.2,0.35,0.04,1,0.37,1,0.15,0.85,54.65,0.08,0.5,0.45,0.74,0.83,0.6,44.95
FS-225,Fulton,36000000,1430000,2740000,0.54,1.03,0.23,0.08,1,0.1,0,0.11,0.86,35.1,0.11,0.49,0.44,0.68,0.86,0.6,45.58
St Rt 166,Fulton,39770000,3550000,10530000,1.1,3.27,0.24,0.08,1,0.13,1,0.13,0.89,51.2,0.18,0,0.38,0.71,0.87,0.8,37.38
FS-003,Fulton,3770000,3440000,7080000,6.06,12.48,0.24,0.06,1,0.16,1,0.16,0.9,52.03,0.15,0.48,0.42,0.74,0.83,0.9,49.38
GW-309,Gwinnett,42240000,2640000,7760000,1.04,3.05,0.2,1,1,0,1,0.31,1,67.13,0.15,0.5,0.47,0.7,0.77,0.8,48.32
AT-244,Fulton,186610000,-1580000,-680000,-0.07,-0.03,0.33,0.12,1,0.11,1,0.51,,,0.08,0.67,0.49,0.8,0.79,0.5,48.78
AT-273,Fulton,2500000,1790000,4680000,12.45,32.6,0.32,0.08,1,0.09,1,0.24,,,0.12,0.72,0.53,0.53,0.8,1,54.33
BA-005C,Barrow,17820000,290000,2360000,0.25,2.04,0.22,0.35,1,0.06,0,0.14,,,0.1,0.52,0.44,0.49,0.85,0.8,46.34
BA-005D,Barrow,25000000,1360000,4800000,0.94,3.34,,,,,,,,,0.12,0.5,0.43,0.69,0.84,0.1,41.05
BA-010,Barrow,19200000,-150000,-990000,-0.13,-0.9,0.31,0.1,1,0.19,0,0.11,,,0.08,0.53,0.43,0.8,0.86,0.6,46.7
BA-026,Barrow,20910000,-260000,-630000,-0.17,-0.41,0.3,1,1,0.38,0,0.13,,,0.08,0.52,0.41,0.47,0.84,0.8,44.78
BA-027,Barrow,15980000,-750000,120000,-0.82,0.13,0.28,0.76,1,0.3,1,0.14,,,0.09,0.49,0.43,0.33,0.84,1,45
BA-028,Barrow,14050000,-500000,-740000,-0.62,-0.91,0.3,0.54,1,0.24,1,0.13,,,0.08,0.51,0.43,0.47,0.84,0.9,45.73
CL-AR-180,Clayton,48000000,3120000,3190000,1.07,1.1,,,,,,,,,0.11,0.79,0.5,0.47,0.77,0.8,52.52
CL-AR-181,Clayton,42160000,3420000,8070000,1.19,2.81,,,,,,,,,0.16,0.6,0.41,0.47,0.75,0.9,48.86
CO-AR-238,Cobb,137500000,1140000,7190000,0.15,0.91,0.82,0.19,1,0.86,1,0.61,,,0.15,0.77,0.44,0.44,0.75,0.5,48.82
CW-AR-003,Coweta,56380000,1230000,4500000,0.38,1.39,0.21,0.05,1,0,1,0.06,,,0.13,0.55,0.35,0.24,0.74,0.7,41.57
DK-327A,DeKalb,11210000,1020000,4390000,1.58,6.82,0.21,0,1,0.01,1,0.09,,,0.12,0.54,0.44,0.45,0.85,0.1,39.76
DK-328A,DeKalb,9600000,90000,-190000,0.17,-0.34,,,,,,,,,0.08,0.54,0.45,0.95,0.83,0.1,43.37
DK-328B,DeKalb,5000000,40000,-70000,0.14,-0.26,,,,,,,,,0.08,0.47,0.44,0.96,0.81,0.1,41.3
DK-401,DeKalb,128900000,5300000,9290000,0.69,1.21,0.49,0.01,1,0.72,1,0.62,,,0.18,0.82,0.21,0.72,0.95,0.7,56.42
DK-402,DeKalb,43700000,-1050000,-8330000,-0.38,-3.03,0.25,0.03,1,0.11,1,0.6,,,0,0.81,0.46,0.54,0.87,1,53.46
FA-235C,Fayette,16500000,670000,60000,0.7,0.06,,,,,,,,,0.08,0.52,0.48,0.45,0.8,0.1,37.59
GW-308B,Gwinnett,253220000,23710000,120460000,1.45,7.35,,,,,,,,,1,0.46,1,0.22,0.17,0.6,62.26
GW-388,Gwinnett,16350000,970000,9490000,0.86,8.44,0.26,0.18,1,0.1,0,0.19,,,0.16,0.61,0.73,0.29,0.46,0.9,46.11
GW-389,Gwinnett,19300000,2780000,16250000,2.8,16.36,0.26,0.06,1,0.08,0,0.28,,,0.23,0.71,0.68,1,0.52,0.9,58.19
GW-AR-242,Gwinnett,2750000,-160000,-400000,-1.25,-3.12,,,,,,,,,0.07,0.71,0.46,0.61,0.81,0.2,44.87
NE-033C,Newton,15970000,890000,2630000,0.97,2.86,,,,,,,,,0.1,0.49,0.6,0.48,0.73,0.1,37.84
PA-062,Paulding,4790000,70000,190000,0.24,0.62,,,,,,,,,0.08,0.47,0.41,0.24,0.83,0.1,34.23
PA-063,Paulding,2990000,110000,280000,0.64,1.65,,,,,,,,,0.08,0.47,0.41,0.14,0.83,0.1,33.2
South I75 CD Lanes,Clayton,90410000,5440000,12480000,0.92,2.11,,,,,,,,,0.21,0.67,0.45,0.47,0.7,0.9,51.61
