County,ID,Future Congestion,Future Accessibility,Future Freight,Future Deliverability,Future Air Quality,Future Volume,Future Score,Current Congestion,Current Safety,Current Freight,Current Buffer Index,Current Equitable Target Areas,Current Air Quality,Current Accessibility,Current Score,BC 2015,BC 2040,Annual Benefit 2040,Annual Cost
Fulton,AT-244,0.078133,0.6658,0.3482,0.803825,0.789656,0.5,47.354089,0.327066,0.120139,1,0.11115,1,0.511603,  ,39.570948,-0.15,-0.06,-0.68,21580770.44
Fulton,AT-273,0.121733,0.719,0.4,0.529106,0.804798,1,52.990033,0.316376,0.077942,1,0.092068,1,0.237407,   ,35.791406,12.45,32.57,4.68,143569.6776
Fulton,ATL-04,0.060533,0.475149,0.2987,0.729737,0.84629,0.9,45.673434,0.296345,0.018801,1,0.149141,1,0.243075,0,35.131078,3.38,-13.57,19.04,146441.0712
Fulton,Buckhead-01,0.085867,0.498711,0.3158,0.799904,0.860113,1,49.102505,0.517364,0.136281,1,0.473482,0,0.373546,0,30.861767,1.76,0.82,21.82,957333.9231
Fulton,Buckhead-05,0.076667,0.472742,0.2591,0.701392,0.835917,1,46.262218,0.412306,0.18101,1,0.355653,0,0.392058,0,28.438387,0.41,-0.23,20.73,1309355.46
Fulton,FN-067A,0.089933,0.4936,0.3024,0.201931,0.818495,0.8,40.358737,0.333201,0.035527,1,0.191254,0,0.191626,0.426875,29.563224,0.32,0.49,1.22,5233979.566
Fulton,FN-222,0.215267,0.425,0.2954,0.678482,0.810742,0.6,44.98296,0.302256,0.006832,1,0.223546,0,0.151588,0.212759,24.154119,0.71,5.43,14.64,2706541.941
Fulton,FN-225,0.669467,0.478,0.7455,0.809416,0.598604,1,66.562222,0.383084,0.000367,1,0.313741,0,0.271373,0.415677,31.831861,4.49,12.66,63.36,3404278.951
Fulton,FN-233A,0.634467,0.4916,0.7267,0.443545,0.562666,0.8,59.466439,0.390263,0.025865,1,0.188759,0,0.183707,0.112996,24.177812,8.74,30.24,77.95,2578130.284
Fulton,FN-263,0.285,0.4734,0.5814,0.218459,0.594111,0.9,46.295266,0.394214,0.004533,1,0.312893,0,0.21461,0.50492,33.325718,4.46,14.9,22.74,1526273.893
